KODERS,VVIP,VIP,KELASI,KELASII,KELASIII,ICU,PICU,NICU,TTBAYIBARULAHIR,HCU
3172746,0,0,0,0,25,0,0,0,0,0
3172735,0,1,6,12,31,0,0,0,0,0
3172748,2,7,10,12,15,2,5,5,12,0
31727565,1,2,2,4,6,0,2,2,8,0
3172137,0,0,0,0,50,0,0,0,0,0
3172243,16,11,24,27,22,1,2,7,24,0
3172759,0,4,5,4,31,0,0,0,3,0
3172752,4,7,9,8,10,0,0,0,0,0
31727555,3,10,0,10,28,0,0,0,0,0
3172301,0,2,9,5,21,0,0,0,5,3
3101002,0,0,0,0,10,0,0,0,0,0
3172749,5,10,44,15,39,10,0,0,0,8
3173014,32,66,93,56,530,30,12,10,12,22
31717895,2,21,14,10,15,5,0,2,2,5
3172072,27,159,254,194,277,80,4,15,15,23
3172520,0,26,20,29,16,7,0,0,4,0
3173645,0,6,12,20,34,2,0,0,25,4
31727535,7,14,16,21,28,3,1,1,8,0
3173696,8,8,3,8,5,2,0,0,10,4
3172758,0,6,20,12,12,2,2,2,10,2
3174522,2,13,50,45,90,4,3,9,10,4
3173706,5,15,17,16,38,1,2,1,28,2
3171790,0,0,0,0,25,0,0,0,3,0
3172050,0,8,9,29,28,0,0,0,3,0
3172757,0,0,20,28,30,0,0,0,16,3
3175414,0,0,0,0,8,0,0,0,0,1
3174518,0,0,0,0,22,0,0,0,16,4
3171795,0,7,28,39,338,15,9,12,7,18
3174523,0,0,0,0,28,0,0,0,0,3
3173705,0,0,0,0,25,0,0,0,5,0
3171610,4,8,6,22,0,0,0,0,0,0
3171676,0,0,0,50,0,0,0,0,0,0
3173131,0,0,0,0,52,0,0,0,0,0
3173244,0,0,0,0,44,0,0,0,0,0
3173372,0,0,0,0,35,0,0,0,0,0
3174395,2,8,30,28,0,0,0,0,0,0
3174405,6,15,17,12,0,0,0,0,0,0
3172751,0,0,0,0,0,0,0,0,0,0
31745165,0,0,2,8,13,0,0,0,15,2
3173697,0,0,0,0,0,0,0,0,0,0
3174529,0,0,0,0,0,0,0,0,0,0
3173699,0,0,0,0,24,0,0,0,0,0
3175410,0,1,4,12,12,0,0,0,3,0
3172760,1,5,5,15,7,0,3,1,0,3
3175411,0,4,4,8,10,0,0,0,2,0
3173698,0,0,0,0,33,0,0,0,0,2
3175412,0,0,0,0,46,0,0,0,0,1
3171792,0,0,0,0,22,0,0,0,2,3
3173701,0,0,0,0,27,0,0,0,3,2
3171793,0,0,0,0,37,0,0,0,0,2
3172761,0,0,0,0,26,0,0,0,0,0
3174519,0,0,0,0,0,0,0,0,0,0
3173700,0,0,0,0,29,0,0,0,8,0
3175413,0,0,0,0,20,0,0,0,7,2
3174517,0,0,0,0,32,0,0,0,0,0
3171796,0,2,2,3,5,0,1,1,5,1
3172765,0,1,2,4,6,0,0,0,3,1
3175416,0,0,0,0,27,0,0,0,9,0
3174525,0,0,0,0,54,0,0,0,0,0
317541,1,2,6,6,12,0,0,0,0,0
3171800,0,0,0,0,48,0,0,0,5,1
3171801,0,0,0,0,36,0,0,0,5,1
3173707,0,1,2,0,0,0,0,0,0,0
3171802,0,0,0,0,0,0,0,0,0,0
3172769,0,0,0,0,0,0,0,0,0,0
3172770,0,0,0,0,0,0,0,0,0,0
3271104,0,6,32,12,224,7,0,0,0,7
3271126,13,35,17,6,16,4,0,0,0,0
3271164,9,18,16,25,31,0,0,0,12,3
3201218,1,16,16,25,76,0,0,0,0,1
3271013,17,40,67,49,78,8,0,20,10,0
3201251,6,6,14,10,14,3,0,2,0,3
3271115,13,15,25,18,24,2,3,5,0,0
3201236,9,10,12,23,30,1,0,0,6,3
3271163,14,4,10,8,17,1,0,0,4,1
3271046,13,18,76,185,333,4,0,0,14,45
3271072,4,42,12,12,21,5,1,2,18,0
3271161,2,7,30,11,17,1,1,1,10,3
3201241,1,2,2,4,6,0,2,2,11,0
3271024,0,9,29,56,80,3,0,0,19,6
3271162,1,3,4,7,10,0,0,0,26,1
3201240,0,2,4,15,7,0,0,2,6,1
3201243,1,2,2,10,10,0,0,0,0,1
3271166,0,0,1,4,10,1,0,0,5,0
3201126,10,26,32,40,15,1,2,4,16,0
3201061,4,5,18,44,42,2,0,0,10,3
3201185,2,23,31,45,68,15,2,3,20,3
3276041,7,7,26,41,2,2,1,2,4,15
3201035,0,25,20,46,21,5,0,0,6,0
3276146,3,16,24,23,31,3,0,3,20,2
3276017,2,15,25,58,80,6,2,3,15,6
3276028,3,27,54,39,50,7,0,2,0,0
3201013,0,0,12,23,16,0,0,0,2,1
3201072,8,39,14,24,27,4,1,8,11,3
3201196,2,16,13,24,10,5,2,14,10,2
3276124,0,0,0,4,65,0,0,0,9,0
3276135,0,2,9,17,15,0,0,0,12,4
3276039,0,2,6,9,32,3,0,0,26,0
3276150,1,5,10,4,7,5,0,0,0,0
3276151,2,8,24,20,30,6,5,6,6,3
3276152,2,4,12,11,9,2,2,2,16,2
3201141,2,6,8,14,25,0,0,8,8,1
3276147,0,3,6,16,8,2,0,0,12,0
32761495,0,0,1,10,11,0,0,1,7,1
3276153,0,1,4,7,14,3,3,3,5,0
3276154,2,6,10,16,20,2,3,5,15,0
3603010,0,25,38,128,197,23,0,4,10,9
3671065,0,19,86,122,64,27,0,0,20,8
3671080,4,30,34,43,32,6,0,0,10,4
3671043,0,10,18,53,40,5,0,4,1,0
3671146,4,10,39,74,40,3,0,0,8,3
3671203,3,51,39,70,28,3,1,9,12,3
3671205,3,12,38,75,27,6,0,3,12,0
3671126,0,0,20,35,44,1,0,0,2,1
3671135,1,5,8,16,24,1,0,2,19,2
3671136,0,21,8,12,20,3,2,3,15,2
3671208,0,0,0,0,167,4,3,3,16,7
3671210,1,9,10,30,29,3,0,0,9,0
3671032,0,10,20,29,126,5,0,0,10,0
3671076,0,4,8,48,40,7,0,4,0,0
3671124,4,4,13,19,27,1,0,0,13,4
3671082,0,0,0,0,37,2,0,0,6,1
3671204,0,4,4,19,76,1,0,0,26,0
3671207,0,1,8,24,31,1,0,0,15,0
3671209,0,5,18,42,32,4,0,0,5,0
3671211,0,5,12,13,16,2,0,0,5,2
3671021,0,1,12,15,26,0,0,0,2,4
3671091,0,0,0,0,25,0,0,0,0,0
3671202,2,9,7,12,18,0,0,0,4,3
3671214,0,0,0,0,0,0,0,0,0,0
3671217,0,3,3,4,6,12,0,0,0,2
3671218,0,1,4,6,12,0,0,0,2,2
3671219,0,0,4,8,12,0,0,0,8,1
3671221,0,1,2,4,11,0,0,0,17,2
3671222,0,0,2,8,12,2,0,0,0,0
3671223,4,6,22,39,29,3,2,2,10,0
3275115,17,29,45,58,45,4,7,6,58,0
3216218,2,10,2,31,51,8,0,10,15,6
3216329,6,50,20,25,17,2,0,2,0,0
3275130,4,6,15,28,33,11,0,2,12,7
3275392,4,40,56,63,51,8,2,5,17,7
3275062,1,9,16,9,12,7,0,3,3,3
3275024,0,11,23,30,33,3,1,0,4,4
3275050,0,7,6,41,24,1,0,0,16,4
3275094,4,29,32,113,56,7,7,5,15,0
3216174,0,3,30,36,19,7,2,4,0,7
3275196,1,2,14,34,27,2,2,22,8,2
3275207,0,2,8,29,36,2,2,1,20,0
3275263,3,12,18,16,21,0,0,0,0,0
3216285,4,10,10,25,34,4,0,0,8,0
3216362,2,10,10,29,42,7,0,0,16,0
3275373,3,32,16,18,27,12,0,5,0,0
3275013,3,50,75,139,201,9,6,25,25,12
3725061,2,4,4,18,15,2,0,2,11,2
3275083,0,1,15,17,36,0,0,0,6,1
3275229,6,7,14,24,31,3,10,4,20,0
3275296,0,0,3,6,34,0,0,0,5,3
3275307,1,2,14,24,22,1,1,4,0,3
3275035,0,3,4,6,21,2,0,2,7,2
3275141,2,4,18,13,16,3,0,4,4,1
3275390,0,4,8,9,4,0,0,0,5,1
3216402,2,5,27,46,37,2,1,1,6,1
3216423,1,4,12,16,18,2,0,0,0,4
3275274,0,3,4,12,24,0,0,0,20,2
3275017,4,6,3,7,21,0,0,0,18,0
3275039,1,4,6,8,12,0,0,0,2,4
3275052,1,6,8,10,12,2,2,0,8,0
3275046,0,12,28,66,76,0,0,0,0,0
3216389,2,1,10,11,16,0,0,0,8,1
3216396,0,2,6,6,14,0,0,0,2,0
32754035,0,0,2,6,16,0,0,0,0,1
3275053,0,4,12,14,18,0,0,0,0,0
3216427,0,0,4,9,46,0,0,0,0,2
3275057,0,4,8,12,16,2,1,0,0,0
3216429,0,0,2,4,17,0,0,0,0,2
3275060,0,5,8,19,27,1,1,1,10,1
3275063,0,0,0,0,0,0,0,0,0,0
3275064,0,0,0,0,0,0,0,0,0,0
3674102,3,42,66,32,25,5,0,6,0,5
3674113,8,19,26,28,17,5,1,4,22,6
3674018,2,25,36,6,22,6,0,2,10,0
3603060,5,3,16,37,28,1,0,0,10,4
3603082,3,3,4,30,8,1,0,4,4,1
3603115,39,8,24,29,35,8,0,0,6,0
3674005,23,4,20,66,40,7,0,2,8,0
3674014,5,4,10,12,21,2,2,4,10,0
3674157,2,11,28,13,16,4,0,3,8,0
3674168,0,0,0,25,73,3,0,6,11,0
3674006,0,6,14,22,12,1,0,0,2,1
3674007,10,3,14,15,20,3,3,3,10,0
3674056,0,2,3,24,26,3,0,0,12,0
3603201,0,2,10,4,9,0,0,0,0,2
3674004,2,9,14,18,20,1,0,0,4,3
3674009,0,3,9,6,16,2,0,0,12,2
3674012,1,5,14,16,20,0,0,0,12,4
3674016,0,8,8,14,24,1,2,2,4,2
3603034,6,6,14,14,0,0,0,0,0,0
3674071,5,15,20,15,5,0,0,0,0,0
3603093,4,4,1,2,6,0,0,0,6,2
3674193,3,12,16,17,18,3,0,0,30,0
3674003,2,3,6,6,12,0,0,0,29,0
3674171,0,0,9,12,20,0,0,0,37,0
3674008,1,1,1,2,3,0,0,0,8,0
3674011,0,3,5,10,5,0,0,0,4,0
3674013,2,8,6,16,12,0,0,0,21,0
3674015,2,8,9,1,2,0,0,0,3,0
3671216,0,4,8,15,22,1,0,0,26,3
3674019,0,0,2,6,15,0,0,0,2,0
