KODERS,TTD,TM,DPRS
3674168,145,329,13
3674006,69,202,12
3674007,96,328,12
3674056,81,99,12
3603201,38,64,8
3674004,86,161,12
3674009,55,80,12
3674012,79,95,12
3674016,72,99,12
3603034,40,3,0
3674071,60,12,3
3603093,30,37,12
3674193,110,143,11
3674003,63,16,9
3674171,88,86,11
3674008,20,31,7
3674011,30,33,11
3674013,73,84,3
3674015,32,36,12
3671216,88,79,12
3674019,27,33,10
