KODERS,TTD,DUDS,DGDS,PDS,DPRS
3276135,65,27,4,106,10
3276039,90,40,5,89,11
3276150,38,27,0,61,10
3276151,118,57,6,114,11
3276152,77,29,4,58,12
3201141,83,34,7,72,6
3276147,57,15,2,51,10
32761495,41,14,1,58,11
3276153,46,12,5,43,12
3276154,91,26,6,51,12
3603010,476,129,8,852,14
3671065,360,92,0,35,0
3671080,179,110,10,400,12
3671043,139,63,81,243,14
3671146,193,55,6,146,9
3671203,234,70,9,417,15
3671205,187,63,6,264,12
3671126,109,40,6,145,12
3671135,96,44,9,22,11
3671136,100,89,8,209,13
3671208,219,77,9,304,13
3671210,102,33,5,23,12
3671032,239,62,5,277,13
3671076,122,46,5,254,8
3671124,96,37,1,127,9
3671082,53,20,1,24,10
3671204,139,35,2,19,4
3671207,92,29,0,11,0
3671209,116,37,3,16,0
3671211,63,22,6,66,12
3671021,71,22,2,97,11
3671091,25,0,0,0,0
3671202,60,18,3,52,9
3671214,0,0,0,0,0
3671217,36,15,2,21,11
3671218,31,14,5,26,11
3671219,38,8,1,11,12
3671221,42,12,0,24,8
3671222,29,10,0,22,9
3671223,136,23,3,65,11
3275115,292,214,24,409,15
3216218,143,62,6,6,11
3216329,122,90,6,0,10
3275130,138,55,6,35,11
3275392,267,123,14,356,14
3275062,71,37,4,40,13
3275024,121,46,3,47,9
3275050,107,39,4,141,12
3275094,289,99,7,452,14
3216174,108,32,3,7,11
3275196,124,60,6,11,12
3275207,112,31,5,73,9
3275263,70,36,1,11,11
3216285,108,48,3,152,12
3216362,119,65,12,43,0
3275373,124,61,8,307,15
3275013,601,81,11,514,15
3725061,70,29,8,107,10
3275083,81,14,2,67,9
3275229,125,51,8,131,12
3275296,51,11,1,47,10
3275307,81,31,3,101,12
3275035,54,23,8,7,10
3275141,73,29,4,129,12
3275390,38,20,4,14,9
3216402,155,34,8,16,11
3216423,65,26,1,51,12
3275274,74,28,7,105,12
3275017,66,23,7,29,11
3275039,45,25,7,36,11
3275052,55,20,3,65,12
3275046,182,57,8,49,15
3216389,102,63,6,6,12
3216396,33,13,0,7,12
32754035,30,14,1,35,11
3275053,55,20,4,7,6
3216427,67,14,2,12,11
3275057,53,29,4,7,10
3216429,28,7,0,13,8
3275060,81,12,1,46,12
3275063,0,0,0,0,0
3275064,0,0,0,0,0
3674102,205,167,9,458,15
3674113,161,129,9,467,15
3674018,134,96,15,228,15
3603060,114,49,8,146,12
3603082,68,51,3,81,12
3603115,165,90,12,273,14
3674005,186,65,7,244,13
3674014,79,52,5,114,12
3674157,98,59,10,123,14
3674168,145,70,3,256,13
3674006,69,67,11,124,12
3674007,96,110,15,203,12
3674056,81,27,5,67,12
3603201,38,27,6,31,8
3674004,86,43,9,109,12
3674009,55,24,7,49,12
3674012,79,27,3,65,12
3674016,72,25,6,68,12
3603034,40,3,0,0,0
3674071,60,7,0,5,3
3603093,30,10,2,25,12
3674193,110,34,4,105,11
3674003,63,10,1,5,9
3674171,88,20,2,64,11
3674008,20,17,2,12,7
3674011,30,15,5,13,11
3674013,73,25,6,53,3
3674015,32,16,2,18,12
3671216,88,27,4,48,12
3674019,27,9,5,19,10
